name,street_address,city,state,postal_code,country,latitude,longitude,phone,website,rating_value,review_count,services,category,google_place_id,description,source,canonical_url,is_chain,chain_name
Alaska Fitness,2700 A St,Anchorage,AK,99503,US,61.1958331,-149.8841077,(907) 646-8686,https://alaskafitness.net/?utm_source=omg-gbp&utm_medium=webclick,4.1,169.0,"Infrared Sauna, Massage, Steam Room, Traditional Sauna",,ChIJHxqTXM-XyFYR2GkDbht5tYQ,"Traditional Sauna available in Anchorage, Alaska. Day Pass available.",plunge,https://plungesaunafinder.com/alaska/anchorage/alaska-fitness,False,
Base Camp Anchorage Hostel,1037 W 26th Ave,Anchorage,AK,99503,US,61.197334,-149.9025305,(907) 274-1252,https://basecampanchorage.com/,4.7,295.0,"Float, Infrared Sauna, Traditional Sauna",,ChIJDVi-RtqXyFYRkB-Aw64pBW8,"Traditional Sauna available in Anchorage, Alaska. Day Pass available.",plunge,https://plungesaunafinder.com/alaska/anchorage/base-camp-anchorage-hostel,False,
Ravens Nest Spa,8115 Jewel Lake Rd,Anchorage,AK,99502,US,61.1473077,-149.9511159,(907) 570-7700,http://ravensnestspa.com/,4.8,153.0,"Infrared Sauna, Halotherapy, Massage",,ChIJF3GyThOYyFYR3X836AWqtis,"Infrared Sauna available in Anchorage, Alaska. Private Session available.",plunge,https://plungesaunafinder.com/alaska/anchorage/ravens-nest-spa,False,
Snow Blossom Acupuncture LLC - Wellness & Float Center,615 E 82nd Ave #200,Anchorage,AK,99518,US,61.146674,-149.871123,(907) 245-7669,http://snowblossomak.com/,4.7,70.0,"Infrared Sauna, Float, Massage",,ChIJTfZ8_9OZyFYRdb2b93ZAlFA,"Infrared Sauna available in Anchorage, Alaska. ",plunge,https://plungesaunafinder.com/alaska/anchorage/snow-blossom-acupuncture-llc-wellness-float-center,False,
The Alaska Club Summit Luxury Gym,11001 O'Malley Centre Dr Suite 103,Anchorage,AK,99515,US,61.1214708,-149.8603817,(907) 365-7300,https://www.thealaskaclub.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-tacsummit-profile,4.1,61.0,"Hot Tub, Infrared Sauna, Steam Room, Traditional Sauna",,ChIJWflpD5WZyFYRKPRdylVFLtg,"Traditional Sauna available in Anchorage, Alaska. Membership available.",plunge,https://plungesaunafinder.com/alaska/anchorage/the-alaska-club-summit-luxury-gym,False,
The Wellness Lounge,1005 E Dimond Blvd,Anchorage,AK,99515,US,61.1451176,-149.8627016,(907) 222-4019,https://akwellnesslounge.com/,4.9,56.0,"Infrared Sauna, Cold Plunge, Massage, Red Light Therapy",,ChIJYY5_f-WZyFYRxBMiHJo7XqQ,"Infrared Sauna available in Anchorage, Alaska. Private Session available.",plunge,https://plungesaunafinder.com/alaska/anchorage/the-wellness-lounge,False,
Alyeska Nordic Spa,1000 Arlberg Ave,Girdwood,AK,99587,US,60.9706743,-149.0959696,(833) 747-3267,https://anordicspa.com/,4.3,456.0,"Cold Plunge, Halotherapy, Infrared Sauna, Massage, Steam Room, Traditional Sauna",,ChIJXZbH_ChlyFYRgtDyEQxCBb0,"Traditional Sauna available in Girdwood, Alaska. Day Pass available.",plunge,https://plungesaunafinder.com/alaska/girdwood/alyeska-nordic-spa,False,
Conquer Functional Wellness,323 Airport Rd Suite D,Auburn,AL,36830,US,32.6101006,-85.4444076,(334) 758-6200,http://conquerfunctionalwellness.com/,5.0,59.0,"Cryotherapy, Infrared Sauna, Red Light Therapy",,ChIJ_cQ6x_HzjIgR6Zt8g3ZY8ys,"Cryotherapy available in Auburn, Alabama. Private Session available.",plunge,https://plungesaunafinder.com/alabama/auburn/conquer-functional-wellness,False,
"HOTWORX - Auburn, AL",234 N Gay St,Auburn,AL,36830,US,32.610121,-85.4797204,(334) 734-2762,https://www.hotworx.net/studio/auburn,4.1,30.0,Infrared Sauna,,ChIJbw-OzYnzjIgRXHp-MlfxJZw,"Infrared Sauna available in Auburn, Alabama. Membership available.",plunge,https://plungesaunafinder.com/alabama/auburn/hotworx-auburn-al,True,HOTWORX
Palm Beach Tan,1499 S College St Ste C,Auburn,AL,36830,US,32.5794245,-85.4957885,(334) 826-7710,https://palmbeachtan.com/locations/AL/Auburn-South-College-Street/?utm_source=google_my_business&utm_medium=organic&utm_campaign=seo&utm_content=ALA202,4.3,52.0,"Infrared Sauna, Red Light Therapy, Halotherapy",,ChIJG7kx77zzjIgRMQG2GNStYjA,"Infrared Sauna available in Auburn, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/auburn/palm-beach-tan-1499,True,Palm Beach Tan
